GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SchoolManagementSystemMaven2,com.wg.services,IssueService,36,67,0,4,14,24,0,7,0,5
SchoolManagementSystemMaven2,com.wg.services,FeeService,51,191,8,14,24,61,7,9,0,5
SchoolManagementSystemMaven2,com.wg.services,CourseService,4,124,1,5,2,45,1,8,0,6
SchoolManagementSystemMaven2,com.wg.services,UserService,74,157,3,9,24,52,3,12,0,9
SchoolManagementSystemMaven2,com.wg.services,AttendanceServices,8,59,0,0,3,22,0,4,0,4
SchoolManagementSystemMaven2,com.wg.services,NotificationService,10,26,0,0,6,9,0,3,0,3
SchoolManagementSystemMaven2,com.wg.services,LeavesService,0,121,0,4,0,46,0,8,0,6
SchoolManagementSystemMaven2,com.wg.services,CourseMarksService,11,36,0,2,5,13,0,4,0,3
SchoolManagementSystemMaven2,com.wg.ui,FacultyUI,782,0,79,0,260,0,55,0,12,0
SchoolManagementSystemMaven2,com.wg.ui,AdminUI,1930,0,229,0,671,0,150,0,25,0
SchoolManagementSystemMaven2,com.wg.ui,StartMenu,258,0,39,0,100,0,35,0,3,0
SchoolManagementSystemMaven2,com.wg.ui,StudentUI,620,0,49,0,206,0,44,0,16,0
SchoolManagementSystemMaven2,com.wg.ui,BaseUI,723,0,76,0,219,0,46,0,8,0
SchoolManagementSystemMaven2,com.wg.config,DatabaseConnection,6,13,0,2,3,5,1,2,1,1
SchoolManagementSystemMaven2,com.wg.helper,Printer,23,0,0,0,5,0,2,0,2,0
SchoolManagementSystemMaven2,com.wg.helper,PasswordValidator,73,0,22,0,16,0,13,0,2,0
SchoolManagementSystemMaven2,com.wg.helper,UnauthenticatedException,8,0,0,0,4,0,2,0,2,0
SchoolManagementSystemMaven2,com.wg.helper,InvalidFeeAmountException,4,0,0,0,2,0,1,0,1,0
SchoolManagementSystemMaven2,com.wg.helper,LoggingUtil,9,67,0,2,3,17,1,4,1,3
SchoolManagementSystemMaven2,com.wg.helper,UniqueIdGenerator,8,0,0,0,3,0,2,0,2,0
SchoolManagementSystemMaven2,com.wg.helper,PasswordUtil,11,0,0,0,3,0,3,0,3,0
SchoolManagementSystemMaven2,com.wg.helper,SecureInput,26,0,2,0,8,0,3,0,2,0
SchoolManagementSystemMaven2,com.wg.helper,Validator,243,0,62,0,68,0,47,0,16,0
SchoolManagementSystemMaven2,com.wg.app,App,10,0,0,0,4,0,2,0,2,0
SchoolManagementSystemMaven2,com.wg.dao,CourseMarksDAO,0,79,0,0,0,15,0,4,0,4
SchoolManagementSystemMaven2,com.wg.dao,NotificationDAO,0,113,0,0,0,19,0,6,0,6
SchoolManagementSystemMaven2,com.wg.dao,AttendanceDAO,0,61,0,0,0,16,0,5,0,5
SchoolManagementSystemMaven2,com.wg.dao,UserDAO,17,300,1,1,5,48,3,7,2,7
SchoolManagementSystemMaven2,com.wg.dao,IssueDAO,0,160,0,0,0,22,0,7,0,7
SchoolManagementSystemMaven2,com.wg.dao,FeeDAO,16,125,0,0,3,21,1,6,1,6
SchoolManagementSystemMaven2,com.wg.dao,GenericDAO,4,63,2,4,2,18,2,5,0,4
SchoolManagementSystemMaven2,com.wg.dao,CourseDAO,2,123,1,1,1,25,1,7,0,7
SchoolManagementSystemMaven2,com.wg.dao,LeavesDAO,13,218,3,3,4,34,3,7,0,7
SchoolManagementSystemMaven2,com.wg.controller,LeavesController,36,0,0,0,12,0,6,0,6,0
SchoolManagementSystemMaven2,com.wg.controller,AttendanceController,45,0,0,0,12,0,4,0,4,0
SchoolManagementSystemMaven2,com.wg.controller,CourseController,242,0,32,0,85,0,24,0,7,0
SchoolManagementSystemMaven2,com.wg.controller,NotificationController,18,0,0,0,5,0,3,0,3,0
SchoolManagementSystemMaven2,com.wg.controller,IssueController,31,0,0,0,11,0,5,0,5,0
SchoolManagementSystemMaven2,com.wg.controller,CourseMarksController,44,0,4,0,11,0,5,0,3,0
SchoolManagementSystemMaven2,com.wg.controller,UserController,820,0,117,0,283,0,75,0,10,0
SchoolManagementSystemMaven2,com.wg.controller,FeeController,44,0,0,0,13,0,5,0,5,0
SchoolManagementSystemMaven2,com.wg.constants,StringConstants,3,0,0,0,1,0,1,0,1,0
SchoolManagementSystemMaven2,com.wg.constants,StandardWiseCourse,70,0,26,0,28,0,15,0,2,0
SchoolManagementSystemMaven2,com.wg.constants,NotificationConstants,3,3,0,0,1,1,1,1,1,1
SchoolManagementSystemMaven2,com.wg.model,Attendance,25,31,0,0,7,14,2,9,2,9
SchoolManagementSystemMaven2,com.wg.model,Leaves,36,45,0,0,9,20,2,13,2,13
SchoolManagementSystemMaven2,com.wg.model,User,141,101,0,0,54,44,7,29,7,29
SchoolManagementSystemMaven2,com.wg.model,IssuesStatus,0,15,0,0,0,2,0,1,0,1
SchoolManagementSystemMaven2,com.wg.model,Course,18,24,0,0,6,11,2,7,2,7
SchoolManagementSystemMaven2,com.wg.model,LeavesStatus,0,21,0,0,0,2,0,1,0,1
SchoolManagementSystemMaven2,com.wg.model,Result,15,0,0,0,2,0,1,0,1,0
SchoolManagementSystemMaven2,com.wg.model,Issue,24,38,0,0,7,17,2,11,2,11
SchoolManagementSystemMaven2,com.wg.model,Status,0,15,0,0,0,2,0,1,0,1
SchoolManagementSystemMaven2,com.wg.model,Notification,31,38,0,0,8,17,2,11,2,11
SchoolManagementSystemMaven2,com.wg.model,Role,0,21,0,0,0,2,0,1,0,1
SchoolManagementSystemMaven2,com.wg.model,CourseMarks,23,31,0,0,7,14,2,9,2,9
SchoolManagementSystemMaven2,com.wg.model,Fee,0,46,0,0,0,20,0,10,0,10
SchoolManagementSystemMaven2,com.wg.printer,NotificationPrinter,139,0,4,0,29,0,5,0,3,0
SchoolManagementSystemMaven2,com.wg.printer,IssuePrinter,246,0,6,0,47,0,9,0,6,0
SchoolManagementSystemMaven2,com.wg.printer,MarksheetPrinter,84,0,2,0,20,0,5,0,4,0
SchoolManagementSystemMaven2,com.wg.printer,CoursePrinter,140,0,8,0,31,0,7,0,3,0
SchoolManagementSystemMaven2,com.wg.printer,AttendancePrinter,255,0,14,0,54,0,13,0,6,0
SchoolManagementSystemMaven2,com.wg.printer,UserPrinter,197,0,4,0,30,0,5,0,3,0
SchoolManagementSystemMaven2,com.wg.printer,CourseMarksPrinter,136,0,8,0,31,0,9,0,5,0
SchoolManagementSystemMaven2,com.wg.printer,LeavesPrinter,163,0,4,0,30,0,7,0,5,0
